№,Name,Description,Price,Image
1,KTM Adventure,"2019 г., мотоцикл, 30 000 км",$ 19 900,https://im.mashina.kg/tachka/images//0/3/7/037bb0fcc558b602edb075dacb970144_240x180.jpg
2,CFMoto Leader,"2023 г., мотоцикл, ",$ 200,https://im.mashina.kg/tachka/images//3/e/c/3ec36f96f9b0d0ad41ed4a5c9261d426_240x180.jpg
3,BRP Outlander 800,"2007 г., мотовездеход, 6 000 км",$ 9 000,https://im.mashina.kg/tachka/images//0/0/f/00f27b72e4147875f96b219f89cbc6e8_240x180.jpg
4,Yamaha FZR 600,"2010 г., мотоцикл, 25 000 км",$ 5 200,https://im.mashina.kg/tachka/images//0/0/f/00fe855feef29f36cca931535b33ad67_240x180.jpg
5,Honda VT 750,"2012 г., мотоцикл, 10 000 км",$ 7 100,https://im.mashina.kg/tachka/images//c/1/7/c17f06edea30e427591e6927adb78fb7_240x180.jpg
6,Suzuki GSX-R 600,"2003 г., мотоцикл, 60 000 км",$ 4 000,https://im.mashina.kg/tachka/images//f/8/d/f8d702ea65e7d8b644472482cc7a1f25_240x180.jpg
7,BMW R 1200 GS,"2005 г., мотоцикл, 135 117 км",$ 6 000,https://im.mashina.kg/tachka/images//7/6/e/76e994cf58340c12b3fb6fa08f2a3a98_240x180.jpg
8,Китай (NoName) Электроскутер,"2022 г., скутер, 140 км",$ 1 354,https://im.mashina.kg/tachka/images//7/3/2/7320b2af5b722f88b2e58d6422209469_240x180.jpg
9,Suzuki SV 1000,"2003 г., мотоцикл, 34 000 км",$ 5 200,https://im.mashina.kg/tachka/images//e/2/5/e25ec6165284c0ef7c14299e3af4579d_240x180.jpg
10,Kawasaki Vulcan,"2000 г., мотоцикл, 33 909 км",$ 7 500,https://im.mashina.kg/tachka/images//8/9/5/895cd3ef068c2390c372db058539561d_240x180.jpg
11,Yamaha SR 400,"2015 г., мотоцикл, 3 700 км",$ 6 900,https://im.mashina.kg/tachka/images//e/2/1/e214337ca4f9c9cad3ce414adf668487_240x180.jpg
12,Yamaha V-Max,"2001 г., мотоцикл, 11 885 км",$ 7 100,https://im.mashina.kg/tachka/images//8/f/e/8feab24b8dbb64ba97d86f0bcf4a5d70_240x180.jpg
13,Yamaha FZ6,"2012 г., мотоцикл, 5 615 км",$ 7 000,https://im.mashina.kg/tachka/images//9/7/0/9702707b13f47ea765f321601628799e_240x180.jpg
14,Yamaha Majesty,"2005 г., скутер, 53 000 км",$ 3 000,https://im.mashina.kg/tachka/images//6/6/0/660163a6554078c8564dc6d566c4b1b7_240x180.jpg
15,Honda Monkey,"2017 г., мотоцикл, 16 093 км",$ 4 000,https://im.mashina.kg/tachka/images//d/7/1/d718eb88b27af732b5b750e9d3c0e0f8_240x180.jpg
16,Zongshen LZX,"2005 г., мотоцикл, 48 280 км",$ 1 900,https://im.mashina.kg/tachka/images//5/5/b/55bb7c0e4265646fe125d444ce35aadc_240x180.jpg
17,Harley-Davidson Sportster 883,"2020 г., мотоцикл, 8 369 км",$ 8 580,https://im.mashina.kg/tachka/images//e/d/9/ed954a56a8709ce70395653afc8c9325_240x180.jpg
18,Falcon SpeedFire,"2017 г., мотоцикл, 6 000 км",$ 2 503,https://im.mashina.kg/tachka/images//c/9/7/c9778076005b78f8acb237f4cdd57c4a_240x180.jpg
19,Suzuki DR 650 SE,"2019 г., мотоцикл, 6 759 км",$ 6 200,https://im.mashina.kg/tachka/images//0/8/3/0832af3db256be8dcaf045ab1943b2d4_240x180.jpg
20,Китай (NoName) 1P72MN (LH173MN),"2020 г., мотоцикл, 5 000 км",$ 1 138,https://im.mashina.kg/tachka/images//a/7/8/a789adedfc21c5851b3bcc7fa4ed27e0_240x180.jpg
21,KTM Adventure,"2019 г., мотоцикл, 30 000 км",$ 19 900,https://im.mashina.kg/tachka/images//0/3/7/037bb0fcc558b602edb075dacb970144_240x180.jpg
